"Time","Temperature"
2025-05-08 01:00:00,20.1 °C
2025-05-08 13:00:00,20.7 °C
2025-05-09 01:00:00,20.6 °C
2025-05-09 13:00:00,20.9 °C
2025-05-10 01:00:00,20.6 °C
2025-05-10 13:00:00,21 °C
2025-05-11 01:00:00,20.5 °C
2025-05-11 13:00:00,21.2 °C
2025-05-12 01:00:00,20.5 °C
2025-05-12 13:00:00,20.5 °C
2025-05-13 01:00:00,20.2 °C
2025-05-13 13:00:00,20.8 °C
2025-05-14 01:00:00,20.4 °C
2025-05-14 13:00:00,21.2 °C
2025-05-15 01:00:00,20.6 °C
2025-05-15 13:00:00,20.8 °C
2025-05-16 01:00:00,20.2 °C
2025-05-16 13:00:00,21.1 °C
2025-05-17 01:00:00,20.6 °C
2025-05-17 13:00:00,21.1 °C
2025-05-18 01:00:00,20.6 °C
2025-05-18 13:00:00,21 °C
2025-05-19 01:00:00,20.7 °C
2025-05-19 13:00:00,20.9 °C
2025-05-20 01:00:00,20.5 °C
2025-05-20 13:00:00,20.6 °C
2025-05-21 01:00:00,20.4 °C
2025-05-21 13:00:00,20.7 °C
2025-05-22 01:00:00,20.4 °C
2025-05-22 13:00:00,20.5 °C
2025-05-23 01:00:00,20.2 °C
2025-05-23 13:00:00,20.8 °C
2025-05-24 01:00:00,20.4 °C
2025-05-24 13:00:00,20.8 °C
2025-05-25 01:00:00,20.5 °C
2025-05-25 13:00:00,20.9 °C
2025-05-26 01:00:00,20.5 °C
2025-05-26 13:00:00,21 °C
2025-05-27 01:00:00,20.6 °C
2025-05-27 13:00:00,21.2 °C
2025-05-28 01:00:00,20.5 °C
2025-05-28 13:00:00,20.6 °C
2025-05-29 01:00:00,20.5 °C
2025-05-29 13:00:00,20.9 °C
2025-05-30 01:00:00,20.6 °C
2025-05-30 13:00:00,21.2 °C
2025-05-31 01:00:00,20.8 °C
2025-05-31 13:00:00,21.4 °C
2025-06-01 01:00:00,21 °C
2025-06-01 13:00:00,21.4 °C
2025-06-02 01:00:00,20.8 °C
2025-06-02 13:00:00,20.8 °C
2025-06-03 01:00:00,20.6 °C
2025-06-03 13:00:00,21 °C
2025-06-04 01:00:00,20.8 °C
2025-06-04 13:00:00,20.7 °C
2025-06-05 01:00:00,20.5 °C
2025-06-05 13:00:00,20.8 °C
2025-06-06 01:00:00,20.7 °C
2025-06-06 13:00:00,21 °C
2025-06-07 01:00:00,20.7 °C
2025-06-07 13:00:00,20.8 °C
2025-06-08 01:00:00,20.6 °C
2025-06-08 13:00:00,20.9 °C
2025-06-09 01:00:00,20.5 °C
2025-06-09 13:00:00,21 °C
2025-06-10 01:00:00,20.7 °C
2025-06-10 13:00:00,21.3 °C
2025-06-11 01:00:00,20.8 °C
2025-06-11 13:00:00,21.4 °C
2025-06-12 01:00:00,21 °C
2025-06-12 13:00:00,21.6 °C
2025-06-13 01:00:00,21.3 °C
2025-06-13 13:00:00,21.9 °C
2025-06-14 01:00:00,21.4 °C
2025-06-14 13:00:00,21.9 °C
2025-06-15 01:00:00,21.4 °C
2025-06-15 13:00:00,21.5 °C
2025-06-16 01:00:00,21.1 °C
2025-06-16 13:00:00,21.2 °C
2025-06-17 01:00:00,20.9 °C
2025-06-17 13:00:00,21.3 °C
2025-06-18 01:00:00,21 °C
2025-06-18 13:00:00,21.6 °C
2025-06-19 01:00:00,21.2 °C
2025-06-19 13:00:00,21.7 °C
2025-06-20 01:00:00,21.3 °C
2025-06-20 13:00:00,21.8 °C
2025-06-21 01:00:00,21.3 °C
2025-06-21 13:00:00,21.8 °C
2025-06-22 01:00:00,21.3 °C
2025-06-22 13:00:00,21.9 °C
2025-06-23 01:00:00,21.6 °C
2025-06-23 13:00:00,21.9 °C
2025-06-24 01:00:00,21.4 °C
2025-06-24 13:00:00,22 °C
2025-06-25 01:00:00,21.3 °C
2025-06-25 13:00:00,21.9 °C
2025-06-26 01:00:00,21.6 °C
2025-06-26 13:00:00,21.6 °C
2025-06-27 01:00:00,21.2 °C
2025-06-27 13:00:00,21.7 °C
2025-06-28 01:00:00,21.3 °C
2025-06-28 13:00:00,21.8 °C
2025-06-29 01:00:00,21.4 °C
2025-06-29 13:00:00,22 °C
2025-06-30 01:00:00,21.6 °C
2025-06-30 13:00:00,22.2 °C
2025-07-01 01:00:00,21.6 °C
2025-07-01 13:00:00,25 °C
2025-07-02 01:00:00,23.9 °C
2025-07-02 13:00:00,25.6 °C
2025-07-03 01:00:00,24.3 °C
2025-07-03 13:00:00,24 °C
2025-07-04 01:00:00,23.2 °C
2025-07-04 13:00:00,23.6 °C
2025-07-05 01:00:00,23 °C
2025-07-05 13:00:00,23.7 °C
2025-07-06 01:00:00,23 °C
2025-07-06 13:00:00,22.9 °C
2025-07-07 01:00:00,22.4 °C
2025-07-07 13:00:00,22.5 °C
2025-07-08 01:00:00,22.2 °C
2025-07-08 13:00:00,22.3 °C
2025-07-09 01:00:00,22.1 °C
2025-07-09 13:00:00,23 °C
2025-07-10 01:00:00,22.2 °C
2025-07-10 13:00:00,23.4 °C
2025-07-11 01:00:00,22.5 °C
2025-07-11 13:00:00,23.6 °C
2025-07-12 01:00:00,22.8 °C
2025-07-12 13:00:00,23.5 °C
2025-07-13 01:00:00,22.9 °C
2025-07-13 13:00:00,23.4 °C
2025-07-14 01:00:00,22.9 °C
2025-07-14 13:00:00,23.4 °C
2025-07-15 01:00:00,22.8 °C
2025-07-15 13:00:00,23.4 °C
2025-07-16 01:00:00,22.7 °C
2025-07-16 13:00:00,23.3 °C
2025-07-17 01:00:00,22.9 °C
2025-07-17 13:00:00,23.5 °C
2025-07-18 01:00:00,22.8 °C
2025-07-18 13:00:00,23.6 °C
2025-07-19 01:00:00,22.9 °C
2025-07-19 13:00:00,22.9 °C
2025-07-20 01:00:00,22.6 °C
2025-07-20 13:00:00,23.1 °C
2025-07-21 01:00:00,22.6 °C
2025-07-21 13:00:00,22.8 °C
2025-07-22 01:00:00,22.4 °C
2025-07-22 13:00:00,23 °C
2025-07-23 01:00:00,22.4 °C
2025-07-23 13:00:00,23.1 °C
2025-07-24 01:00:00,22.5 °C
2025-07-24 13:00:00,23 °C
2025-07-25 01:00:00,22.5 °C
2025-07-25 13:00:00,22.9 °C
2025-07-26 01:00:00,22.4 °C
2025-07-26 13:00:00,22.5 °C
2025-07-27 01:00:00,22.3 °C
2025-07-27 13:00:00,22.6 °C
2025-07-28 01:00:00,22.1 °C
2025-07-28 13:00:00,22.1 °C
2025-07-29 01:00:00,21.9 °C
2025-07-29 13:00:00,22.8 °C
2025-07-30 01:00:00,22.1 °C
2025-07-30 13:00:00,22.9 °C
2025-07-31 01:00:00,22.2 °C
2025-07-31 13:00:00,22.9 °C
2025-08-01 01:00:00,22.4 °C
2025-08-01 13:00:00,23.1 °C
2025-08-02 01:00:00,22.6 °C
2025-08-02 13:00:00,22.9 °C
2025-08-03 01:00:00,22.2 °C
2025-08-03 13:00:00,22.8 °C
2025-08-04 01:00:00,22.2 °C
2025-08-04 13:00:00,23.1 °C
2025-08-05 01:00:00,22.4 °C
2025-08-05 13:00:00,23.2 °C
2025-08-06 01:00:00,22.4 °C
2025-08-06 13:00:00,22.8 °C
2025-08-07 01:00:00,22.3 °C
2025-08-07 13:00:00,23.6 °C
2025-08-08 01:00:00,22.7 °C
2025-08-08 13:00:00,24 °C
2025-08-09 01:00:00,23.1 °C
2025-08-09 13:00:00,24 °C
2025-08-10 01:00:00,23.3 °C
2025-08-10 13:00:00,23.9 °C
2025-08-11 01:00:00,23.2 °C
2025-08-11 13:00:00,23.8 °C
2025-08-12 01:00:00,23.2 °C
2025-08-12 13:00:00,23.9 °C
2025-08-13 01:00:00,23.2 °C
2025-08-13 13:00:00,23.9 °C
2025-08-14 01:00:00,23.4 °C
2025-08-14 13:00:00,23.7 °C
2025-08-15 01:00:00,23 °C
2025-08-15 13:00:00,23.3 °C
2025-08-16 01:00:00,22.7 °C
2025-08-16 13:00:00,23.4 °C
2025-08-17 01:00:00,22.9 °C
2025-08-17 13:00:00,23.3 °C
2025-08-18 01:00:00,22.7 °C
2025-08-18 13:00:00,23.4 °C
2025-08-19 01:00:00,22.8 °C
2025-08-19 13:00:00,22.9 °C
2025-08-20 01:00:00,22.5 °C
2025-08-20 13:00:00,22.5 °C
2025-08-21 01:00:00,22.1 °C
2025-08-21 13:00:00,22.4 °C
2025-08-22 01:00:00,22.2 °C
2025-08-22 13:00:00,22.7 °C
2025-08-23 01:00:00,22.1 °C
2025-08-23 13:00:00,22.7 °C
2025-08-24 01:00:00,22.2 °C
2025-08-24 13:00:00,22.9 °C
2025-08-25 01:00:00,22.2 °C
2025-08-25 13:00:00,23.4 °C
2025-08-26 01:00:00,22.5 °C
2025-08-26 13:00:00,23.6 °C
2025-08-27 01:00:00,22.7 °C
2025-08-27 13:00:00,23.1 °C
2025-08-28 01:00:00,22.6 °C
2025-08-28 13:00:00,22.7 °C
2025-08-29 01:00:00,22.2 °C
2025-08-29 13:00:00,22.3 °C
2025-08-30 01:00:00,22 °C
2025-08-30 13:00:00,22.4 °C
2025-08-31 01:00:00,21.9 °C
2025-08-31 13:00:00,22.7 °C
2025-09-01 01:00:00,22.4 °C
2025-09-01 13:00:00,22.1 °C
2025-09-02 01:00:00,21.9 °C
2025-09-02 13:00:00,22.4 °C
2025-09-03 01:00:00,22.1 °C
2025-09-03 13:00:00,22.9 °C
2025-09-04 01:00:00,22.5 °C
2025-09-04 13:00:00,22.4 °C
2025-09-05 01:00:00,22.1 °C
2025-09-05 13:00:00,22.7 °C
2025-09-06 01:00:00,22.1 °C
2025-09-06 13:00:00,22.4 °C
2025-09-07 01:00:00,22.1 °C
2025-09-07 13:00:00,22.7 °C
2025-09-08 01:00:00,22.2 °C
2025-09-08 13:00:00,22.3 °C
2025-09-09 01:00:00,22.1 °C
2025-09-09 13:00:00,22.4 °C
2025-09-10 01:00:00,22.1 °C
2025-09-10 13:00:00,22.5 °C
2025-09-11 01:00:00,22.2 °C
2025-09-11 13:00:00,22.4 °C
2025-09-12 01:00:00,22.1 °C
2025-09-12 13:00:00,22.6 °C
2025-09-13 01:00:00,22 °C
2025-09-13 13:00:00,22.1 °C
2025-09-14 01:00:00,21.9 °C
2025-09-14 13:00:00,22.3 °C
2025-09-15 01:00:00,22.1 °C
2025-09-15 13:00:00,22.7 °C
2025-09-16 01:00:00,22.2 °C
2025-09-16 13:00:00,22.4 °C
2025-09-17 01:00:00,22 °C
2025-09-17 13:00:00,22.5 °C
2025-09-18 01:00:00,22 °C
2025-09-18 13:00:00,22.6 °C
2025-09-19 01:00:00,22 °C
2025-09-19 13:00:00,22.7 °C
2025-09-20 01:00:00,22.2 °C
2025-09-20 13:00:00,22.9 °C
2025-09-21 01:00:00,22.4 °C
2025-09-21 13:00:00,22.2 °C
2025-09-22 01:00:00,21.9 °C
2025-09-22 13:00:00,22 °C
2025-09-23 01:00:00,21.1 °C
2025-09-23 13:00:00,21.7 °C
2025-09-24 01:00:00,21.5 °C
2025-09-24 13:00:00,21.6 °C
2025-09-25 01:00:00,21.5 °C
2025-09-25 13:00:00,22 °C
2025-09-26 01:00:00,21.7 °C
2025-09-26 13:00:00,21.6 °C
2025-09-27 01:00:00,21.4 °C
2025-09-27 13:00:00,21.9 °C
2025-09-28 01:00:00,21.4 °C
2025-09-28 13:00:00,21.7 °C
2025-09-29 01:00:00,21.3 °C
2025-09-29 13:00:00,21.8 °C
2025-09-30 01:00:00,21.5 °C
2025-09-30 13:00:00,21.9 °C
2025-10-01 01:00:00,21.4 °C
2025-10-01 13:00:00,21.9 °C
2025-10-02 01:00:00,21 °C
2025-10-02 13:00:00,21.6 °C
2025-10-03 01:00:00,20.9 °C
2025-10-03 13:00:00,21.6 °C
2025-10-04 01:00:00,21.7 °C
2025-10-04 13:00:00,21.7 °C
2025-10-05 01:00:00,21.4 °C
2025-10-05 13:00:00,21.9 °C
2025-10-06 01:00:00,21.7 °C
2025-10-06 13:00:00,21.7 °C
2025-10-07 01:00:00,21.1 °C
2025-10-07 13:00:00,21.8 °C
2025-10-08 01:00:00,21.4 °C
2025-10-08 13:00:00,21.6 °C
2025-10-09 01:00:00,21.4 °C
2025-10-09 13:00:00,21.7 °C
2025-10-10 01:00:00,21.6 °C
2025-10-10 13:00:00,21.7 °C
2025-10-11 01:00:00,21.6 °C
2025-10-11 13:00:00,21.7 °C
2025-10-12 01:00:00,21.6 °C
2025-10-12 13:00:00,21.9 °C
2025-10-13 01:00:00,21.8 °C
2025-10-13 13:00:00,21.8 °C
2025-10-14 01:00:00,21.7 °C
2025-10-14 13:00:00,21.7 °C
2025-10-15 01:00:00,21.7 °C
2025-10-15 13:00:00,21.9 °C
2025-10-16 01:00:00,21.7 °C
2025-10-16 13:00:00,21.9 °C
2025-10-17 01:00:00,21.8 °C
2025-10-17 13:00:00,21.9 °C
2025-10-18 01:00:00,21.7 °C
2025-10-18 13:00:00,21.8 °C
2025-10-19 01:00:00,21.6 °C
2025-10-19 13:00:00,21.7 °C
2025-10-20 01:00:00,21.6 °C
2025-10-20 13:00:00,21.6 °C
2025-10-21 01:00:00,21.5 °C
2025-10-21 13:00:00,21.6 °C
2025-10-22 01:00:00,21.5 °C
2025-10-22 13:00:00,21.7 °C
2025-10-23 01:00:00,21.6 °C
2025-10-23 13:00:00,21.5 °C
2025-10-24 01:00:00,21.6 °C
2025-10-24 13:00:00,21.5 °C
2025-10-25 01:00:00,21.3 °C
2025-10-25 13:00:00,21.3 °C
2025-10-26 01:00:00,21.4 °C
2025-10-26 13:00:00,21.4 °C
2025-10-27 01:00:00,21.1 °C
2025-10-27 13:00:00,21.1 °C
2025-10-28 01:00:00,21.1 °C
2025-10-28 13:00:00,21.6 °C
2025-10-29 01:00:00,21.3 °C
2025-10-29 13:00:00,21.6 °C
2025-10-30 01:00:00,21.4 °C
2025-10-30 13:00:00,21.6 °C
2025-10-31 01:00:00,21.5 °C
2025-10-31 13:00:00,21.9 °C
2025-11-01 01:00:00,21.7 °C
2025-11-01 13:00:00,21.7 °C
2025-11-02 01:00:00,21.6 °C
2025-11-02 13:00:00,21.5 °C
2025-11-03 01:00:00,21.4 °C
2025-11-03 13:00:00,21.9 °C
2025-11-04 01:00:00,21.4 °C
2025-11-04 13:00:00,21.6 °C
2025-11-05 01:00:00,21.1 °C
2025-11-05 13:00:00,21.7 °C
2025-11-06 01:00:00,20.9 °C
2025-11-06 13:00:00,21.4 °C
2025-11-07 01:00:00,21.1 °C
2025-11-07 13:00:00,21.7 °C
2025-11-08 01:00:00,21.3 °C
2025-11-08 13:00:00,21.4 °C
2025-11-09 01:00:00,21.3 °C
2025-11-09 13:00:00,21.5 °C
2025-11-10 01:00:00,21.6 °C
2025-11-10 13:00:00,21.7 °C
2025-11-11 01:00:00,21.5 °C
2025-11-11 13:00:00,21.7 °C
2025-11-12 01:00:00,21.1 °C
2025-11-12 13:00:00,21.6 °C
2025-11-13 01:00:00,21.5 °C
2025-11-13 13:00:00,21.8 °C
2025-11-14 01:00:00,21.5 °C
2025-11-14 13:00:00,21.6 °C
2025-11-15 01:00:00,21.3 °C
2025-11-15 13:00:00,21.3 °C
2025-11-16 01:00:00,21.3 °C
2025-11-16 13:00:00,21.2 °C
2025-11-17 01:00:00,21.1 °C
2025-11-17 13:00:00,21.3 °C
